dataset,exp_name,accuracy,id_accuracy,oos_f1,llm_call_rate,final_stage,llm_enabled,router_temperature,tau_accept,tau_reject,delta,file_path
banking77,banking77_ablation_20260324_distance_only,0.911731843575419,0.9233766233766234,0.8759124087591241,0.11871508379888268,stage2_proxy,False,0.8755061030387878,0.4,0.7,1.0,/mnt/data3/wzc/llm_oos_detection/outputs/ucrid/banking77_ablation_20260324_distance_only/ucrid_results.json
banking77,banking77_ablation_20260324_entropy_only,0.8960893854748604,0.9253246753246753,0.8192219679633868,0.06201117318435754,stage2_proxy,False,0.8755061030387878,0.4,0.7,1.0,/mnt/data3/wzc/llm_oos_detection/outputs/ucrid/banking77_ablation_20260324_entropy_only/ucrid_results.json
banking77,banking77_ablation_20260331_full_loss_all_epochs,0.9047486033519553,0.9243506493506494,0.8653421633554084,0.06815642458100558,stage2_proxy,False,0.887083888053894,0.4,0.7,1.0,/mnt/data3/wzc/llm_oos_detection/outputs/ucrid/banking77_ablation_20260331_full_loss_all_epochs/ucrid_results.json
banking77,banking77_ablation_20260331_single_threshold,0.7977653631284917,0.9272727272727272,0.0,0.18100558659217877,stage2_proxy,False,0.8755061030387878,0.4,1.0,1.1,/mnt/data3/wzc/llm_oos_detection/outputs/ucrid/banking77_ablation_20260331_single_threshold/ucrid_results.json
banking77,banking77_ablation_20260331_wo_boundary,0.8994413407821229,0.9246753246753247,0.8359550561797753,0.07206703910614524,stage2_proxy,False,0.8755061030387878,0.4,0.7,1.0,/mnt/data3/wzc/llm_oos_detection/outputs/ucrid/banking77_ablation_20260331_wo_boundary/ucrid_results.json
banking77,banking77_ablation_20260331_wo_supcon,0.8991620111731844,0.9246753246753247,0.8346456692913385,0.07150837988826815,stage2_proxy,False,0.9084727764129639,0.4,0.7,1.0,/mnt/data3/wzc/llm_oos_detection/outputs/ucrid/banking77_ablation_20260331_wo_supcon/ucrid_results.json
banking77,banking77_rerun_20260320_1406_oos_only_warnclean_vllm,0.9259776536312849,0.9237012987012987,0.94,0.07206703910614524,stage3_llm,True,0.8755061030387878,0.4,0.7,1.0,/mnt/data3/wzc/llm_oos_detection/outputs/ucrid/banking77_rerun_20260320_1406_oos_only_warnclean_vllm/ucrid_results.json
banking77,banking77_rerun_20260320_1420_oos_only_warnclean_qwen3_8888,0.9,0.9246753246753247,0.8385650224215246,0.07206703910614524,stage3_llm,True,0.8755061030387878,0.4,0.7,1.0,/mnt/data3/wzc/llm_oos_detection/outputs/ucrid/banking77_rerun_20260320_1420_oos_only_warnclean_qwen3_8888/ucrid_results.json
banking77,banking77_rerun_20260320_1458_oos_only_warnclean_qwen3_8888_fixed,0.926536312849162,0.9243506493506494,0.9447236180904522,0.07206703910614524,stage3_llm,True,0.8755061030387878,0.4,0.7,1.0,/mnt/data3/wzc/llm_oos_detection/outputs/ucrid/banking77_rerun_20260320_1458_oos_only_warnclean_qwen3_8888_fixed/ucrid_results.json
banking77,banking77_rerun_20260321_0637_oos_only_warnclean_mixtral_8010_ctxsafe,0.9175977653631285,0.9246753246753247,0.9104166666666667,0.07206703910614524,stage3_llm,True,0.8755061030387878,0.4,0.7,1.0,/mnt/data3/wzc/llm_oos_detection/outputs/ucrid/banking77_rerun_20260321_0637_oos_only_warnclean_mixtral_8010_ctxsafe/ucrid_results.json
